Order,Stage,Scope,Condition,Verification source,What runs,Local overlay action,Cloudflare R2 action,Post-write verification,List / queue updated,Next stage,Why this order
0.1,Preflight,Whole run,Latest successful Dropbox backup started after the latest finished ops.prune_daily attempt,daily_task_health table,Continue,None,None,None,None,Check core snapshot freshness,Ensures the Dropbox backup contains everything written by Prune Daily.
0.2,Preflight,Whole run,Latest successful Dropbox backup did not start after the latest finished ops.prune_daily attempt,daily_task_health table,Refuse to run Integrity,None,None,None,None,Stop,A failed or partial Prune Daily attempt may still have changed R2.
0.3,Preflight,Whole run,Latest successful Dropbox backup started after the latest finished ops.r2_core_snapshot attempt,daily_task_health table,Continue,None,None,None,None,Check previous Integrity repair freshness,Ensures the local v2 core snapshot matches the latest completed core writer attempt.
0.4,Preflight,Whole run,Latest successful Dropbox backup did not start after the latest finished ops.r2_core_snapshot attempt,daily_task_health table,Refuse to run Integrity,None,None,None,None,Stop,Prevents Integrity using an older v2 core snapshot.
0.5,Preflight,Whole run,A previous repair-mode ops.history_integrity attempt exists,daily_task_health table and repair_mode flag/summary,Require the latest successful Dropbox backup to have started after that repair attempt finished,None,None,None,None,Start v2 checks if fresh,"This is simple insurance. With one run per day, the next scheduled backup should normally satisfy it."
0.6,Preflight,Whole run,Any relevant writer task is still running or has no finished time,daily_task_health table,Refuse to run Integrity,None,None,None,None,Stop,Avoids starting while R2 may still be changing.
1.1,Observs,"Per day, connector, pollutant and timeseries",Source-cache and Dropbox observs agree,source-cache compared with R2_history_backup/history/v2/observations,Mark observs correct,No overlay file,No write,None,None,Observs manifests,Healthy observs are not rewritten.
1.2,Observs,"Per day, connector, pollutant and affected timeseries",Source-cache and Dropbox observs do not agree,source-cache compared with R2_history_backup/history/v2/observations,Rebuild the affected v2 observ parquet,Write repaired parquet into sparse run overlay,Upload repaired parquet to R2 History,"GET/read back from R2 and verify, then mark overlay copy verified",OBSERVS_CHANGED,Observs manifests,All later stages use the final repaired observs from the overlay.
1.3,Observs,Affected scope,Source data or mapping is unavailable,source-cache status and history/v2/core mappings,Do not repair; mark operator action,None,No write,None,OBSERVS_BLOCKED,Continue unrelated scopes,Prevents metadata and AQI being built from uncertain observs.
2.1,Observs manifests,Pollutant → connector → day,Scope is in OBSERVS_CHANGED,"Combined local view: verified overlay first, Dropbox backup second",Rebuild affected manifests bottom-up,Write each rebuilt manifest into overlay,Upload each changed manifest to R2 History,GET/read back and verify each changed manifest before using it as a parent child,OBS_MANIFESTS_CHANGED,Observs indexes,Manifests are built once from the final observs state.
2.2,Observs manifests,Pollutant → connector → day,Scope is not in OBSERVS_CHANGED,Dropbox observ parquet and Dropbox observation manifests,Verify existing manifests; rebuild only faults found,Put any repaired manifest into overlay,Upload repaired manifests to R2 History,GET/read back and verify repaired manifests,OBS_MANIFESTS_CHANGED when repaired,Observs indexes,Unchanged scopes are checked without unnecessary writes.
3.1,Observs indexes,Affected observation day/index scope,Observation manifests changed,"Combined local view: verified overlay first, Dropbox backup second",Rebuild observation index/latest/metadata from final day manifests,Write rebuilt index objects into overlay,Upload changed index objects to R2 History,GET/read back and verify each changed object,OBS_INDEXES_CHANGED,AQI Levels,"Indexes must follow manifests, otherwise they may need rebuilding twice."
3.2,Observs indexes,Unchanged observation day/index scope,Observation manifests did not change,Dropbox observation day manifests compared with Dropbox observation indexes,Verify existing indexes; rebuild only faults found,Put any repaired index object into overlay,Upload repaired index objects to R2 History,GET/read back and verify repaired objects,OBS_INDEXES_CHANGED when repaired,AQI Levels,Checks the rest of the requested range without rebuilding healthy indexes.
4.1,AQI Levels,"AQI-eligible pollutant, per day, connector and timeseries/hour",Observs changed earlier in this run,"Expected hours from final observs in overlay/Dropbox combined view; actual aqilevels from overlay first, Dropbox second",Verify expected UTC hours; rebuild missing or invalid aqilevels,Write rebuilt aqilevel parquet into overlay,Upload rebuilt aqilevel parquet to R2 History,GET/read back and verify expected UTC-hour identities,AQILEVELS_CHANGED,AQI Levels manifests,"AQI uses final repaired observs, so it runs after observ metadata is complete."
4.2,AQI Levels,"AQI-eligible pollutant, unchanged observ scope",Observs did not change earlier in this run,Expected hours from Dropbox observs; actual aqilevels from Dropbox,Verify existing aqilevels; rebuild only faults found,Put rebuilt aqilevel parquet into overlay,Upload rebuilt aqilevel parquet to R2 History,GET/read back and verify expected UTC-hour identities,AQILEVELS_CHANGED when repaired,AQI Levels manifests,Avoids rebuilding healthy AQI data.
4.3,AQI Levels,Non-AQI pollutant such as O3,Pollutant is not AQI eligible,history/v2/core observed-property mapping,Skip AQI-level verification and repair for this pollutant,None,No write,None,None,AQI Levels manifests for eligible scopes only,Unsupported pollutants never enter the AQI workflow.
5.1,AQI Levels manifests,Pollutant → connector → day,Scope is in AQILEVELS_CHANGED,"Combined local view: verified overlay first, Dropbox backup second",Rebuild AQI manifests bottom-up,Write rebuilt AQI manifests into overlay,Upload changed AQI manifests to R2 History,GET/read back and verify each changed manifest,AQI_MANIFESTS_CHANGED,AQI Levels indexes,AQI manifests are built once from final AQI parquet.
5.2,AQI Levels manifests,Pollutant → connector → day,Scope is not in AQILEVELS_CHANGED,Dropbox aqilevel parquet and Dropbox AQI manifests,Verify existing AQI manifests; rebuild only faults found,Put any repaired AQI manifest into overlay,Upload repaired AQI manifests to R2 History,GET/read back and verify repaired manifests,AQI_MANIFESTS_CHANGED when repaired,AQI Levels indexes,Unchanged scopes are checked without unnecessary rebuilds.
6.1,AQI Levels indexes,Affected AQI day/index scope,AQI manifests changed,"Combined local view: verified overlay first, Dropbox backup second",Rebuild AQI index/latest/metadata from final AQI day manifests,Write rebuilt AQI index objects into overlay,Upload changed AQI index objects to R2 History,GET/read back and verify each changed object,AQI_INDEXES_CHANGED,Final verification,Indexes follow the final AQI manifest hierarchy.
6.2,AQI Levels indexes,Unchanged AQI day/index scope,AQI manifests did not change,Dropbox AQI day manifests compared with Dropbox AQI indexes,Verify existing AQI indexes; rebuild only faults found,Put any repaired index object into overlay,Upload repaired AQI index objects to R2 History,GET/read back and verify repaired objects,AQI_INDEXES_CHANGED when repaired,Final verification,Checks the requested range without unnecessary index writes.
7.1,Final verification,All repaired scopes,One or more objects changed during this run,source-cache for observ truth; verified overlay for generated objects; targeted live R2 GETs for objects written,Verify the complete six-stage result once,Keep overlay and run-state as evidence until the run ends,No additional writes unless a separately diagnosed defect is fixed,Confirm every written object matches the verified overlay copy,FINAL_REMAINING_GAPS,Finish or fail,One final pass avoids repeated repair loops.
