Layer,Object/prefix,Type,Built by,Used by,What it does,Backup relevance
Committed observations day manifest,history/v1/observations/day_utc=YYYY-MM-DD/manifest.json,Data manifest,Backfill/prune writers (committed observations write path),Observations history readers and backup/inventory sync planning,Defines one committed observations day and lists connector manifests/files,Primary day backup unit and hash signal for changed days
Committed observations connector manifest,history/v1/observations/day_utc=YYYY-MM-DD/connector_id=N/manifest.json,Data manifest,Backfill/prune writers (after parquet parts are written),Observations history readers, timeseries index rebuild, and integrity metadata checks,Defines one connector slice for one day and points to parquet parts,Tracked as its own backup unit hash signal in inventory/checkpoint
Committed AQI day manifest,history/v1/aqilevels/hourly/day_utc=YYYY-MM-DD/manifest.json,Data manifest,Backfill/prune AQI writers,AQI history readers and AQI retention checks,Defines one committed AQI day and lists connector manifests/files,Primary AQI day backup unit and hash signal for changed days
Committed AQI connector manifest,history/v1/aqilevels/hourly/day_utc=YYYY-MM-DD/connector_id=N/manifest.json,Data manifest,Backfill/prune AQI writers,AQI history readers and AQI timeseries index rebuild,Defines one connector slice for one AQI day and points to parquet parts,Included when copying the day folder
Core snapshot day manifest,history/v1/core/day_utc=YYYY-MM-DD/manifest.json,Data manifest,uk_aq_core_snapshot_to_r2.mjs,Integrity/reconcile flows and restore tooling,Defines one core snapshot day and referenced table files,Core domain day backup unit and hash signal
Run manifest (ops trail),history/v1/_ops/observations/runs/run_id=<uuid>/run_manifest.json,Operational manifest,Prune Phase B run pipeline,Ops/audit troubleshooting,Records run-level operational metadata for a run,Not a primary committed-history backup signal
Observations latest index,history/_index/observations_latest.json,Derived index summary,rebuildR2HistoryIndexes (shared module and index build script),History APIs and fast day summary readers,Provides compact latest summary of observations domain,Copied as one index file; compared by hash
AQI latest index,history/_index/aqilevels_latest.json,Derived index summary,rebuildR2HistoryIndexes (shared module and index build script),AQI history APIs and fast day summary readers,Provides compact latest summary of AQI domain,Copied as one index file; compared by hash
Observations timeseries latest descriptor,history/_index/observations_timeseries_latest.json,Derived index descriptor,rebuildR2HistoryIndexes,Observations API timeseries read path,Describes coverage/location for per-day/per-connector timeseries file-range manifests,Copied as one index file; compared by hash
AQI timeseries latest descriptor,history/_index/aqilevels_timeseries_latest.json,Derived index descriptor,rebuildR2HistoryIndexes,AQI API timeseries read path,Describes coverage/location for AQI per-day/per-connector timeseries file-range manifests,Copied as one index file; compared by hash
Observations timeseries tree unit,history/_index/observations_timeseries/day_utc=YYYY-MM-DD/connector_id=N/manifest.json,Derived index tree unit,rebuildR2HistoryIndexes,Observations API to narrow parquet scans,Maps timeseries/time ranges to candidate parquet files for one day+connector,Copied as index tree unit; compared by hash
AQI timeseries tree unit,history/_index/aqilevels_timeseries/day_utc=YYYY-MM-DD/connector_id=N/manifest.json,Derived index tree unit,rebuildR2HistoryIndexes,AQI API to narrow parquet scans,Maps AQI timeseries/pollutant coverage to candidate parquet files for one day+connector,Copied as index tree unit; compared by hash
Backup inventory,history/_index/backup_inventory_v1.json,Backup control metadata,build_backup_inventory.mjs,sync_history_to_dropbox.mjs,Inventory of backup units plus hashes so sync can plan copies without rescanning manifests,Source of truth for what should be mirrored from R2
Dropbox backup checkpoint,_ops/checkpoints/r2_history_backup_state_v1.json (in Dropbox root),Backup sync state,sync_history_to_dropbox.mjs,sync_history_to_dropbox.mjs on later runs,Stores what has already been copied to Dropbox and last copied hashes,Determines changed vs unchanged since last sync
